TACTIC;TECHNIQUE;TECHNIQUE ID;SUBTECHNIQUE;SUBTECHNIQUE ID;ATTACK;TOOL;Pcap file;SID (without repetition);#SID;Total number of alerts
Reconnaissance;Active Scanning;T1595;Vulnerability Scanning;T1595.002;Vulnerability scanning;nmap;T1595.002.pcapng;1421,1418;2;4
Reconnaissance;Active Scanning;T1595;Wordlist Scanning;T1595.003;Web page scanning;Dirb;T1595.003-web_page_scanning1.pcapng;1434,1433,1201,1129,1071,2062,43285,1288,940,937,1662,1489,1145,1301,879,1218,845,1213,885,1206,882,1231,1543,1551,839,825,1016,1141,1606,993,886,1877,895,1852,1520,1521,835,849,896,1826,853,43290,887,1025;44;9562
Reconnaissance;Active Scanning;T1595;Wordlist Scanning;T1595.003;Web page scanning;GoBuster;T1595.003-web_page_scanning2.pcapng;1434,1433,1129,1071,1201,2062,43285,1288,940,937,1662,1489,1145,1301,879,1218,845,1213,885,1206,882,1231,1543,1551,839,825,1016,1141,1606,993,886,1877,895,1852,1520,1521,835,849,896,1826,853,43290,887;43;62
Reconnaissance;Search Open Technical Databases;T1596;DNS/Passive DNS;T1596.001;DNS zone transfer;Dirb;T1596.001.pcapng;255;1;1
Execution;User Execution;T1204;Malicious Link;T1204.001;Malicious link;wget;T1204.001.pcapng;-;0;0
Execution;Windows Management Instrumentation;T1047;-;-;Payload execution using WinRM;Metasploit;T1047.pcapng;1394;1;18
Resource Development;Compromise Accounts;T1586;Social Media Accounts;T1586.001;Brute force towards web login;Hydra;T1586.001.pcapng;-;0;0
Initial Access;Exploit Public-Facing Application;T1190;-;-;SQL injection;Sqlmap;T1190-sql_inyection1.pcapng;-;0;0
Initial Access;Exploit Public-Facing Application;T1190;-;-;SQL injection;Sqlmap;T1190-sql_inyection2.pcapng;1061,1122,1147;3;5
Persistence;Server Software Component;T1505;SQL Stored Procedures;T1505.001;SQL injection;Inyección SQL;T1505.001.pcapng;-;0;0
Persistence;Server Software Component;T1505;Web Shell;T1505.005;Web Shell;Metasploit;T1505.005.pcapng;-;0;0
Persistence;Traffic Signaling;T1205;Port Knocking;T1205.001;Hiding and activating a port remotely;Knockd;T1205.001.pcapng;-;0;0
Credential Access;Brute Force;T1110;Password Guessing;T1110.001;Get password by brute force;Hydra;T1110.001.pcapng;-;0;0
Credential Access;Adversary-in-the-Middle;T1557;ARP Cache Poisoning;T1557.002;ARP poisoning;Arpspoof;T1557.002-ARP_poisoning1.pcapng;-;0;0
Credential Access;Adversary-in-the-Middle;T1557;ARP Cache Poisoning;T1557.002;ARP poisoning;Metasploit;T1557.002-ARP_poisoning2.pcapng;-;0;0
Collection;Data from Configuration Repository;T1602;SNMP (MIB Dump);T1602.001;Get MIB of a equipment;Metasploit;T1602.001.pcapng;1411, 1417;2;792
Collection;Data from Information Repositories;T1213;-;-;SQL injection;Sqlmap;T1213.pcapng;-;0;0
Impact;Data Manipulation;T1565;Stored Data Manipulation;T1565.001;SQL injection;Sqlmap;T1565.001.pcapng;-;0;0
Impact ;Endpoint Denial of Service;T1499;OS Exhaustion Flood;T1499.02;Denial of service (web server);Metasploit;T1499.02.pcapng;40063;1;92
Impact ;Network Denial of Service;T1498;Direct Network Flood;T1498.001;MAC table flooding;Macof;T1498.001-MAC_table_flood.pcapng;1917;1;8
Impact ;Network Denial of Service;T1498;Direct Network Flood;T1498.001;UDP flooding;hping3;T1498.001-UDP_flood.pcapng;402;1;15
Impact;Resource Hijacking;T1496;-;-;Downloading and running mining software;XMRIG;T1496.pcapng;254;1;2
Command and Control;Application Layer Protocol;T1071;DNS;T1071.004;Command - Control via DNS;dnscat2;T1071.004.pcapng;-;0;0
Command and Control;Non-Standard Port;T1571;-;-;SSH session on port 2200;ssh;T1571.pcapng;-;0;0
Command and Control;Traffic Signaling;T1205;Port Knocking;T1205.001;Hiding and activating a port remotely;Knockd;T1205.001.pcapng;-;0;0
Defense Evasion;System Binary Proxy Execution;T1218;Regsvr32;T1218.010;Remote COM scriptlet execution;Regsvr32.exe;T1218.010.pcapng;-;0;0
Defense Evasion;Traffic Signaling;T1205;Port Knocking;T1205.001;Hiding and activating a port remotely;Knockd;T1205.001.pcapng;-;0;0
Lateral Movement;Exploitation of Remote Services;T1210;-;-;EternalBlue;Metasploit;T1210-eternal_blue.pcapng;42944;1;1
Lateral Movement;Exploitation of Remote Services;T1210;-;-;Remote code execution based on vulnerability in FTP server;Metasploit;T1210-remote_code_execution.pcapng;-;0;0
